Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Louisville,Weekly,"2017-04-30 00:00:00",Organic,1.400000000,5166.23,0.00,1639.61,0.00,3526.62,234.45,3292.17,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-04-30 00:00:00",Organic,2.400000000,3477.70,1154.19,62.02,0.00,2261.49,2250.00,11.49,0.00
Midsouth,Weekly,"2017-04-30 00:00:00",Organic,1.960000000,117715.93,4131.40,51699.07,1538.54,60346.92,36527.33,23819.59,0.00
Nashville,Weekly,"2017-04-30 00:00:00",Organic,1.140000000,11100.24,387.36,2926.48,0.00,7786.40,192.66,7593.74,0.00
"New Orleans/Mobile",Weekly,"2017-04-30 00:00:00",Organic,1.950000000,634.09,228.39,24.04,0.00,381.66,381.66,0.00,0.00
"New York",Weekly,"2017-04-30 00:00:00",Organic,1.900000000,156250.72,32215.02,82983.52,1917.45,39134.73,39134.73,0.00,0.00
Northeast,Weekly,"2017-04-30 00:00:00",Organic,1.910000000,278038.48,45273.02,109485.34,1714.65,121565.47,116115.13,5450.34,0.00
"Northern New England",Weekly,"2017-04-30 00:00:00",Organic,1.620000000,14208.82,97.08,229.93,0.00,13881.81,13881.81,0.00,0.00
Orlando,Weekly,"2017-04-30 00:00:00",Organic,2.380000000,4681.64,2188.24,289.11,0.00,2204.29,1853.34,350.95,0.00
Philadelphia,Weekly,"2017-04-30 00:00:00",Organic,1.930000000,23613.28,6569.77,9746.86,10.04,7286.61,7286.61,0.00,0.00
Phoenix/Tucson,Weekly,"2017-04-30 00:00:00",Organic,1.870000000,10199.40,2979.75,5256.95,0.00,1962.70,700.97,1261.73,0.00
Pittsburgh,Weekly,"2017-04-30 00:00:00",Organic,1.490000000,9892.96,902.11,3.64,0.00,8987.21,8233.14,754.07,0.00
Plains,Weekly,"2017-04-30 00:00:00",Organic,1.800000000,69732.89,2391.99,29776.85,1470.12,36093.93,19268.73,16825.20,0.00
Portland,Weekly,"2017-04-30 00:00:00",Organic,1.110000000,44526.50,6225.21,3347.84,97.16,34856.29,147.76,34708.53,0.00
Raleigh/Greensboro,Weekly,"2017-04-30 00:00:00",Organic,2.760000000,8391.71,302.62,4790.79,293.52,3004.78,2644.50,360.28,0.00
Richmond/Norfolk,Weekly,"2017-04-30 00:00:00",Organic,1.770000000,10361.33,597.65,5030.44,184.19,4549.05,3554.80,994.25,0.00
Roanoke,Weekly,"2017-04-30 00:00:00",Organic,1.870000000,6798.65,353.77,2775.79,0.00,3669.09,2372.94,1296.15,0.00
Sacramento,Weekly,"2017-04-30 00:00:00",Organic,2.390000000,6331.52,2222.42,3238.73,1.35,869.02,865.28,3.74,0.00
"San Diego",Weekly,"2017-04-30 00:00:00",Organic,1.830000000,17826.50,1461.21,10052.54,1.61,6311.14,5252.77,1058.37,0.00
"San Francisco",Weekly,"2017-04-30 00:00:00",Organic,2.580000000,22792.24,9036.95,10350.79,2.91,3401.59,3391.48,10.11,0.00
Seattle,Weekly,"2017-04-30 00:00:00",Organic,1.390000000,55920.43,1574.25,12759.95,4.01,41582.22,698.72,40883.50,0.00
"South Carolina",Weekly,"2017-04-30 00:00:00",Organic,1.870000000,7072.22,600.75,4505.47,112.36,1853.64,194.65,1658.99,0.00
"South Central",Weekly,"2017-04-30 00:00:00",Organic,1.310000000,126586.54,41198.05,8563.75,0.00,76824.74,59357.39,17467.35,0.00
Southeast,Weekly,"2017-04-30 00:00:00",Organic,1.900000000,54311.43,11330.87,18748.52,161.45,24070.59,9721.62,14348.97,0.00
Spokane,Weekly,"2017-04-30 00:00:00",Organic,1.720000000,4577.29,219.18,1582.71,27.40,2748.00,20.00,2728.00,0.00
"St. Louis",Weekly,"2017-04-30 00:00:00",Organic,2.250000000,4551.65,60.10,3435.94,6.91,1048.70,1037.18,11.52,0.00
Syracuse,Weekly,"2017-04-30 00:00:00",Organic,1.880000000,1703.77,0.00,160.66,0.00,1543.11,1061.85,481.26,0.00
Tampa,Weekly,"2017-04-30 00:00:00",Organic,2.180000000,3715.02,1053.18,82.33,0.00,2579.51,2041.11,538.40,0.00
West,Weekly,"2017-04-30 00:00:00",Organic,1.400000000,259279.19,61897.14,51045.63,294.91,146041.51,37095.98,108945.53,0.00
"West Tex/New Mexico",Weekly,"2017-04-30 00:00:00",Organic,1.760000000,15686.98,1763.36,5824.80,2.82,8096.00,4515.13,3580.87,0.00
"Total U.S.",Weekly,"2017-05-07 00:00:00",Organic,1.570000000,1394126.23,172722.76,386288.18,4161.33,830953.96,489455.97,341497.99,0.00
Albany,Weekly,"2017-05-07 00:00:00",Organic,1.790000000,2897.23,89.53,315.14,0.00,2492.56,2492.56,0.00,0.00
Atlanta,Weekly,"2017-05-07 00:00:00",Organic,1.370000000,18229.58,338.98,7980.14,0.00,9910.46,238.99,9671.47,0.00
Baltimore/Washington,Weekly,"2017-05-07 00:00:00",Organic,2.130000000,21753.01,964.17,9975.92,229.32,10583.60,10561.56,22.04,0.00
Boise,Weekly,"2017-05-07 00:00:00",Organic,1.170000000,4483.61,11.97,634.33,0.00,3837.31,387.11,3450.20,0.00
Boston,Weekly,"2017-05-07 00:00:00",Organic,1.980000000,21056.26,82.39,1772.56,0.00,19201.31,16567.99,2633.32,0.00
Buffalo/Rochester,Weekly,"2017-05-07 00:00:00",Organic,2.190000000,7609.96,0.00,650.65,0.00,6959.31,1219.99,5739.32,0.00
California,Weekly,"2017-05-07 00:00:00",Organic,1.590000000,211442.68,27955.44,80576.31,1.61,102909.32,102120.45,788.87,0.00
Charlotte,Weekly,"2017-05-07 00:00:00",Organic,2.310000000,8083.68,146.19,5186.80,414.39,2336.30,1777.58,558.72,0.00
Chicago,Weekly,"2017-05-07 00:00:00",Organic,1.950000000,42798.67,42.84,39979.02,0.00,2776.81,2776.81,0.00,0.00
Cincinnati/Dayton,Weekly,"2017-05-07 00:00:00",Organic,1.480000000,19989.19,287.34,7274.84,0.00,12427.01,925.23,11501.78,0.00
Columbus,Weekly,"2017-05-07 00:00:00",Organic,1.610000000,9940.47,695.60,3430.40,0.00,5814.47,1994.78,3819.69,0.00
"Dallas/Ft. Worth",Weekly,"2017-05-07 00:00:00",Organic,1.350000000,26262.54,5808.00,3693.92,0.00,16760.62,16631.95,128.67,0.00
Denver,Weekly,"2017-05-07 00:00:00",Organic,0.900000000,145594.19,32779.19,13318.70,213.66,99282.64,45109.17,54173.47,0.00
Detroit,Weekly,"2017-05-07 00:00:00",Organic,1.810000000,14463.73,649.49,5629.42,0.00,8184.82,441.48,7743.34,0.00
"Grand Rapids",Weekly,"2017-05-07 00:00:00",Organic,2.320000000,845.11,0.00,738.66,0.00,106.45,86.67,19.78,0.00
"Great Lakes",Weekly,"2017-05-07 00:00:00",Organic,1.740000000,146983.33,3712.17,80827.19,1.64,62442.33,21373.63,41068.70,0.00
Harrisburg/Scranton,Weekly,"2017-05-07 00:00:00",Organic,2.080000000,10754.06,306.07,273.03,8.13,10166.83,10166.83,0.00,0.00
Hartford/Springfield,Weekly,"2017-05-07 00:00:00",Organic,2.510000000,15173.18,198.47,7086.04,2.76,7885.91,7885.91,0.00,0.00
Houston,Weekly,"2017-05-07 00:00:00",Organic,1.250000000,36724.25,10306.19,14.17,0.00,26403.89,25913.73,490.16,0.00
Indianapolis,Weekly,"2017-05-07 00:00:00",Organic,1.700000000,4734.57,137.53,2384.20,0.00,2212.84,423.62,1789.22,0.00
Jacksonville,Weekly,"2017-05-07 00:00:00",Organic,1.750000000,3987.53,1182.72,158.85,2.50,2643.46,620.00,2023.46,0.00
"Las Vegas",Weekly,"2017-05-07 00:00:00",Organic,2.030000000,8314.41,2767.64,3687.60,0.00,1859.17,389.78,1469.39,0.00
"Los Angeles",Weekly,"2017-05-07 00:00:00",Organic,1.310000000,137484.97,12550.12,38336.01,0.00,86598.84,86014.32,584.52,0.00
Louisville,Weekly,"2017-05-07 00:00:00",Organic,1.480000000,3514.92,0.00,1570.14,0.00,1944.78,445.56,1499.22,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-05-07 00:00:00",Organic,2.080000000,3542.87,838.16,73.77,0.00,2630.94,1937.78,693.16,0.00
Midsouth,Weekly,"2017-05-07 00:00:00",Organic,1.960000000,111062.12,2964.11,48570.73,1704.61,57822.67,35661.60,22161.07,0.00
Nashville,Weekly,"2017-05-07 00:00:00",Organic,1.220000000,6216.76,191.24,2221.64,0.00,3803.88,216.57,3587.31,0.00
"New Orleans/Mobile",Weekly,"2017-05-07 00:00:00",Organic,1.570000000,3722.76,353.11,0.00,0.00,3369.65,2418.72,950.93,0.00
"New York",Weekly,"2017-05-07 00:00:00",Organic,2.340000000,88625.27,8039.83,35366.86,1665.22,43553.36,43553.36,0.00,0.00
Northeast,Weekly,"2017-05-07 00:00:00",Organic,2.160000000,205224.24,12708.77,53525.73,1500.31,137489.43,121185.90,16303.53,0.00
"Northern New England",Weekly,"2017-05-07 00:00:00",Organic,1.570000000,13580.31,29.67,398.54,0.00,13152.10,13152.10,0.00,0.00
Orlando,Weekly,"2017-05-07 00:00:00",Organic,1.570000000,6683.62,781.71,145.14,0.00,5756.77,2633.33,3123.44,0.00
Philadelphia,Weekly,"2017-05-07 00:00:00",Organic,2.250000000,16765.51,2383.48,6793.53,18.88,7569.62,7569.62,0.00,0.00
Phoenix/Tucson,Weekly,"2017-05-07 00:00:00",Organic,1.820000000,12366.01,4943.78,4878.07,0.00,2544.16,693.23,1850.93,0.00
Pittsburgh,Weekly,"2017-05-07 00:00:00",Organic,1.510000000,7538.29,937.13,25.33,0.00,6575.83,5972.78,603.05,0.00
Plains,Weekly,"2017-05-07 00:00:00",Organic,1.580000000,68236.34,2467.03,20644.80,375.91,44748.60,23886.00,20862.60,0.00
Portland,Weekly,"2017-05-07 00:00:00",Organic,1.110000000,52220.44,7740.99,4048.40,23.83,40407.22,159.67,40247.55,0.00
Raleigh/Greensboro,Weekly,"2017-05-07 00:00:00",Organic,2.610000000,9680.55,231.30,5522.61,307.07,3619.57,3168.90,450.67,0.00
Richmond/Norfolk,Weekly,"2017-05-07 00:00:00",Organic,1.680000000,9163.85,514.87,4408.58,216.59,4023.81,2347.45,1676.36,0.00
Roanoke,Weekly,"2017-05-07 00:00:00",Organic,1.720000000,7509.16,343.02,2428.09,0.00,4738.05,2137.38,2600.67,0.00
Sacramento,Weekly,"2017-05-07 00:00:00",Organic,2.520000000,5321.75,1861.76,3058.89,0.00,401.10,401.10,0.00,0.00
"San Diego",Weekly,"2017-05-07 00:00:00",Organic,1.720000000,21798.32,1347.86,14683.90,1.67,5764.89,5703.48,61.41,0.00
"San Francisco",Weekly,"2017-05-07 00:00:00",Organic,2.540000000,19401.80,7404.38,8501.99,0.00,3495.43,3475.92,19.51,0.00
Seattle,Weekly,"2017-05-07 00:00:00",Organic,1.510000000,56578.63,1762.76,16113.72,10.69,38691.46,497.52,38193.94,0.00
"South Carolina",Weekly,"2017-05-07 00:00:00",Organic,1.800000000,7048.36,352.76,4779.08,119.66,1796.86,270.59,1526.27,0.00
"South Central",Weekly,"2017-05-07 00:00:00",Organic,1.340000000,138588.03,30711.60,11489.92,0.00,96386.51,87975.05,8411.46,0.00
Southeast,Weekly,"2017-05-07 00:00:00",Organic,1.580000000,69763.54,6765.64,19700.90,180.72,43116.28,12489.88,30626.40,0.00
Spokane,Weekly,"2017-05-07 00:00:00",Organic,1.580000000,5023.31,269.36,1452.03,18.94,3282.98,20.00,3262.98,0.00
"St. Louis",Weekly,"2017-05-07 00:00:00",Organic,1.700000000,5974.03,19.60,2127.32,1.73,3825.38,1556.08,2269.30,0.00
Syracuse,Weekly,"2017-05-07 00:00:00",Organic,2.110000000,4181.73,0.00,260.65,0.00,3921.08,1018.47,2902.61,0.00
Tampa,Weekly,"2017-05-07 00:00:00",Organic,1.640000000,5564.72,811.85,37.89,0.00,4714.98,2881.11,1833.87,0.00
West,Weekly,"2017-05-07 00:00:00",Organic,1.190000000,442825.93,85438.01,70952.57,396.53,286038.82,84763.47,201275.35,0.00
"West Tex/New Mexico",Weekly,"2017-05-07 00:00:00",Organic,1.740000000,16697.08,3986.53,4485.20,22.54,8202.81,5333.82,2868.99,0.00
"Total U.S.",Weekly,"2017-05-14 00:00:00",Organic,1.550000000,1375125.12,164697.92,339920.60,4618.45,865888.15,566862.84,299025.31,0.00
Albany,Weekly,"2017-05-14 00:00:00",Organic,1.570000000,4270.28,44.12,450.74,0.00,3775.42,3775.42,0.00,0.00
Atlanta,Weekly,"2017-05-14 00:00:00",Organic,1.460000000,15466.97,988.48,7007.80,0.00,7470.69,239.81,7230.88,0.00
Baltimore/Washington,Weekly,"2017-05-14 00:00:00",Organic,2.110000000,25181.71,1025.83,12713.64,262.83,11179.41,11171.14,8.27,0.00
Boise,Weekly,"2017-05-14 00:00:00",Organic,1.270000000,4103.97,7.94,681.17,0.00,3414.86,527.77,2887.09,0.00
Boston,Weekly,"2017-05-14 00:00:00",Organic,1.990000000,21115.24,60.91,1839.22,0.00,19215.11,16626.66,2588.45,0.00
Buffalo/Rochester,Weekly,"2017-05-14 00:00:00",Organic,2.160000000,5945.03,0.00,548.13,0.00,5396.90,1203.33,4193.57,0.00
California,Weekly,"2017-05-14 00:00:00",Organic,1.760000000,167406.47,29347.26,61178.45,7.82,76872.94,75429.92,1443.02,0.00
Charlotte,Weekly,"2017-05-14 00:00:00",Organic,2.210000000,9005.08,420.54,6462.38,585.26,1536.90,1270.05,266.85,0.00
Chicago,Weekly,"2017-05-14 00:00:00",Organic,1.930000000,40490.25,71.71,36510.68,0.00,3907.86,3907.86,0.00,0.00
Cincinnati/Dayton,Weekly,"2017-05-14 00:00:00",Organic,1.410000000,22296.61,239.72,5966.79,0.00,16090.10,802.37,15287.73,0.00
Columbus,Weekly,"2017-05-14 00:00:00",Organic,1.640000000,8117.63,665.81,3417.68,0.00,4034.14,2226.47,1807.67,0.00
"Dallas/Ft. Worth",Weekly,"2017-05-14 00:00:00",Organic,1.450000000,28735.11,5498.44,4103.53,0.00,19133.14,18976.42,156.72,0.00
Denver,Weekly,"2017-05-14 00:00:00",Organic,0.740000000,162499.64,22355.83,7368.08,139.39,132636.34,91421.75,41214.59,0.00
Detroit,Weekly,"2017-05-14 00:00:00",Organic,1.760000000,10857.83,531.77,5473.59,0.00,4852.47,1319.32,3533.15,0.00
"Grand Rapids",Weekly,"2017-05-14 00:00:00",Organic,2.110000000,1569.19,0.00,1013.74,0.00,555.45,555.45,0.00,0.00
"Great Lakes",Weekly,"2017-05-14 00:00:00",Organic,1.680000000,143791.21,3379.52,73032.43,0.00,67379.26,29130.71,38248.55,0.00
Harrisburg/Scranton,Weekly,"2017-05-14 00:00:00",Organic,2.130000000,10398.91,282.24,444.34,11.48,9660.85,9660.85,0.00,0.00
Hartford/Springfield,Weekly,"2017-05-14 00:00:00",Organic,2.580000000,12456.71,310.12,4316.89,4.13,7825.57,7825.57,0.00,0.00
Houston,Weekly,"2017-05-14 00:00:00",Organic,1.390000000,33955.60,10106.86,14.14,0.00,23834.60,23749.30,85.30,0.00
Indianapolis,Weekly,"2017-05-14 00:00:00",Organic,1.650000000,4231.54,128.17,1389.05,0.00,2714.32,1694.89,1019.43,0.00
Jacksonville,Weekly,"2017-05-14 00:00:00",Organic,2.220000000,4709.07,3021.33,242.81,8.76,1436.17,1433.39,2.78,0.00
"Las Vegas",Weekly,"2017-05-14 00:00:00",Organic,1.890000000,8090.29,3039.00,2852.86,0.00,2198.43,560.00,1638.43,0.00
"Los Angeles",Weekly,"2017-05-14 00:00:00",Organic,1.400000000,105965.36,11688.57,28601.28,0.00,65675.51,64377.29,1298.22,0.00
Louisville,Weekly,"2017-05-14 00:00:00",Organic,1.150000000,5721.61,0.00,1188.69,0.00,4532.92,620.55,3912.37,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-05-14 00:00:00",Organic,1.420000000,5883.23,279.85,84.90,0.00,5518.48,3846.67,1671.81,0.00
Midsouth,Weekly,"2017-05-14 00:00:00",Organic,1.760000000,133422.58,3776.69,55201.16,1954.50,72490.23,38041.51,34448.72,0.00
Nashville,Weekly,"2017-05-14 00:00:00",Organic,0.870000000,16265.74,556.49,2648.60,0.00,13060.65,213.03,12847.62,0.00
"New Orleans/Mobile",Weekly,"2017-05-14 00:00:00",Organic,1.960000000,1745.63,900.99,0.00,0.00,844.64,744.97,99.67,0.00
"New York",Weekly,"2017-05-14 00:00:00",Organic,2.410000000,71188.47,6758.27,25947.46,2033.18,36449.56,36449.56,0.00,0.00
Northeast,Weekly,"2017-05-14 00:00:00",Organic,2.090000000,202280.64,11814.11,42990.28,1781.11,145695.14,132557.14,13138.00,0.00
"Northern New England",Weekly,"2017-05-14 00:00:00",Organic,1.400000000,26964.27,10.30,614.37,0.00,26339.60,26339.60,0.00,0.00
Orlando,Weekly,"2017-05-14 00:00:00",Organic,2.060000000,7139.37,3870.20,219.06,0.00,3050.11,2911.43,138.68,0.00
