Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Philadelphia,Weekly,"2017-05-14 00:00:00",Organic,2.290000000,17466.93,2785.90,6672.50,19.57,7988.96,7988.96,0.00,0.00
Phoenix/Tucson,Weekly,"2017-05-14 00:00:00",Organic,1.780000000,10801.99,4909.91,4204.50,0.00,1687.58,561.58,1126.00,0.00
Pittsburgh,Weekly,"2017-05-14 00:00:00",Organic,1.490000000,4101.47,803.09,5.34,0.00,3293.04,2743.00,550.04,0.00
Plains,Weekly,"2017-05-14 00:00:00",Organic,1.620000000,69358.17,3417.56,21230.05,251.83,44458.73,22549.94,21908.79,0.00
Portland,Weekly,"2017-05-14 00:00:00",Organic,1.300000000,48275.47,5546.50,3638.93,8.47,39081.57,352.47,38729.10,0.00
Raleigh/Greensboro,Weekly,"2017-05-14 00:00:00",Organic,2.440000000,9771.04,182.76,6859.79,373.56,2354.93,2133.98,220.95,0.00
Richmond/Norfolk,Weekly,"2017-05-14 00:00:00",Organic,1.720000000,9767.94,561.89,4265.52,195.63,4744.90,4343.18,401.72,0.00
Roanoke,Weekly,"2017-05-14 00:00:00",Organic,1.810000000,5838.07,230.45,2146.33,0.00,3461.29,2915.88,545.41,0.00
Sacramento,Weekly,"2017-05-14 00:00:00",Organic,2.430000000,5255.47,1982.43,2481.05,2.68,789.31,785.59,3.72,0.00
"San Diego",Weekly,"2017-05-14 00:00:00",Organic,2.220000000,12594.05,1455.55,9485.09,1.66,1651.75,1621.18,30.57,0.00
"San Francisco",Weekly,"2017-05-14 00:00:00",Organic,2.640000000,20842.19,8772.82,8839.82,2.91,3226.64,3204.39,22.25,0.00
Seattle,Weekly,"2017-05-14 00:00:00",Organic,1.620000000,49291.33,1601.12,13061.38,41.19,34587.64,1325.19,33262.45,0.00
"South Carolina",Weekly,"2017-05-14 00:00:00",Organic,1.910000000,7927.37,998.20,5280.45,259.53,1389.19,277.31,1111.88,0.00
"South Central",Weekly,"2017-05-14 00:00:00",Organic,1.460000000,142740.06,30921.33,12795.99,0.00,99022.74,93390.04,5632.70,0.00
Southeast,Weekly,"2017-05-14 00:00:00",Organic,1.780000000,69261.08,17886.01,19384.39,355.06,31635.62,15349.13,16286.49,0.00
Spokane,Weekly,"2017-05-14 00:00:00",Organic,1.560000000,5224.55,430.77,1195.66,25.22,3572.90,103.37,3469.53,0.00
"St. Louis",Weekly,"2017-05-14 00:00:00",Organic,1.590000000,5693.95,229.87,1400.10,0.00,4063.98,1150.00,2913.98,0.00
Syracuse,Weekly,"2017-05-14 00:00:00",Organic,2.000000000,4073.79,0.00,349.93,0.00,3723.86,1435.66,2288.20,0.00
